               Product Type Part Machine Throughput
20158 YH슈퍼스타육성돈    P    2       1  17.142857
20210 YH슈퍼스타육성돈    P    2       1  17.280000
20235 YH슈퍼스타육성돈    P    2       1  18.518519
20269 YH슈퍼스타육성돈    P    2       1  18.750000
20299 YH슈퍼스타육성돈    P    1       1  15.000000
20392 YH슈퍼스타육성돈    P    1       1  15.126050
20489 YH슈퍼스타육성돈    P    1       1  17.647059
20539 YH슈퍼스타육성돈    P    1       1  16.438356
20590 YH슈퍼스타육성돈    P    1       1  16.216216
20618 YH슈퍼스타육성돈    P    2       1  15.576923
20666 YH슈퍼스타육성돈    P    2       1  15.000000
20785 YH슈퍼스타육성돈    P    1       1  16.744186
20811 YH슈퍼스타육성돈    P    2       1  16.179775
20853 YH슈퍼스타육성돈    P    2       1  18.367347
20877 YH슈퍼스타육성돈    P    1       1  15.824176
21021 YH슈퍼스타육성돈    P    1       1  16.666667
21045 YH슈퍼스타육성돈    P    2       1  16.179775
21119 YH슈퍼스타육성돈    P    1       1  16.179775
21167 YH슈퍼스타육성돈    P    1       1  15.824176
21219 YH슈퍼스타육성돈    P    1       1  15.157895
21338 YH슈퍼스타육성돈    P    2       1  13.090909
21444 YH슈퍼스타육성돈    P    2       1  15.000000
21504 YH슈퍼스타육성돈    P    2       1  14.823529
21550 YH슈퍼스타육성돈    P    2       1  15.384615
21598 YH슈퍼스타육성돈    P    2       1  16.216216
21647 YH슈퍼스타육성돈    P    2       1  15.737705
21670 YH슈퍼스타육성돈    P    1       1  15.272727
21690 YH슈퍼스타육성돈    P    2       1  16.666667
21747 YH슈퍼스타육성돈    P    1       1  15.652174
21771 YH슈퍼스타육성돈    P    1       1  15.319149
21821 YH슈퍼스타육성돈    P    1       1  17.560976
21927 YH슈퍼스타육성돈    P    1       2  19.787234
21948 YH슈퍼스타육성돈    P    2       1  14.693878
21975 YH슈퍼스타육성돈    P    1       1  18.529412
22024 YH슈퍼스타육성돈    P    2       1  16.666667
22229 YH슈퍼스타육성돈    P    2       1  16.000000
22314 YH슈퍼스타육성돈    P    1       1  15.000000
22413 YH슈퍼스타육성돈    P    1       1  17.647059
22459 YH슈퍼스타육성돈    P    1       1  15.789474
22506 YH슈퍼스타육성돈    P    1       1  15.714286
22604 YH슈퍼스타육성돈    P    1       1  16.216216
22628 YH슈퍼스타육성돈    P    2       1  17.500000
22691 YH슈퍼스타육성돈    P    1       1  17.500000
22741 YH슈퍼스타육성돈    P    1       1  18.000000
22832 YH슈퍼스타육성돈    P    1       1  16.153846
22852 YH슈퍼스타육성돈    P    1       1  16.000000
22963 YH슈퍼스타육성돈    P    1       1  16.666667
23017 YH슈퍼스타육성돈    P    1       1  17.391304
23180 YH슈퍼스타육성돈    P    2       1  16.097561
